"term","delta","method","estimate","conf_low","conf_high","contains_zero","pattern_name","pattern_type","violation_pattern_used","scale_instrument","nobs","se","theta_min","theta_max","baseline_estimate","baseline_conf_low","baseline_conf_high","crosses_baseline_sign","significant_at_level","error","crop","treatment","delta_outcome_units","delta_share_of_residual_y_sd","residual_y_sd"
"maize_yield",0,"uci",184.452590793658,74.5001413832304,294.405040204086,FALSE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,0,0,184.452590793658,74.5001413832304,294.405040204086,FALSE,TRUE,NA,"maize","maize_yield",0,0,2.66542098441256
"maize_yield",0.0266542098441256,"uci",184.452590793658,-43.0368375418896,438.799524338523,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.0266542098441256,0.0266542098441256,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.0266542098441256,0.01,2.66542098441256
"maize_yield",0.0533084196882512,"uci",184.452590793658,-170.97305541643,588.50885526139,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.0533084196882512,0.0533084196882512,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.0533084196882512,0.02,2.66542098441256
"maize_yield",0.0799626295323768,"uci",184.452590793658,-309.022829205381,741.482559801582,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.0799626295323768,0.0799626295323768,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.0799626295323768,0.03,2.66542098441256
"maize_yield",0.106616839376502,"uci",184.452590793658,-454.63845316393,896.475391795661,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.106616839376502,0.106616839376502,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.106616839376502,0.04,2.66542098441256
"maize_yield",0.133271049220628,"uci",184.452590793658,-605.10420905409,1052.76068903429,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.133271049220628,0.133271049220628,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.133271049220628,0.05,2.66542098441256
"maize_yield",0.159925259064754,"uci",184.452590793658,-758.54162674458,1209.90731906725,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.159925259064754,0.159925259064754,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.159925259064754,0.06,2.66542098441256
"maize_yield",0.186579468908879,"uci",184.452590793658,-913.827040106159,1367.65037484908,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.186579468908879,0.186579468908879,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.186579468908879,0.07,2.66542098441256
"maize_yield",0.213233678753005,"uci",184.452590793658,-1070.30443617362,1525.82070593072,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.213233678753005,0.213233678753005,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.213233678753005,0.08,2.66542098441256
"maize_yield",0.23988788859713,"uci",184.452590793658,-1227.58227432989,1684.30629047876,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",72169,NA,-0.23988788859713,0.23988788859713,184.452590793658,74.5001413832304,294.405040204086,TRUE,FALSE,NA,"maize","maize_yield",0.23988788859713,0.09,2.66542098441256
